time          x0G           u             y0G           v             psi           r             delta         
[s]           [m]           [m/s]         [m]           [m/s]         [rad]         [rad/s]       [rad]         
0.00000e+00   0.00000e+00   8.00771e+00   0.00000e+00   4.96756e-02   2.68223e-03   3.47580e-04   1.48648e-02   
1.36000e-01   1.09000e+00   8.00771e+00   1.00000e-02   4.94104e-02   2.71535e-03   3.52215e-04   1.49319e-02   
2.71000e-01   2.17000e+00   7.98391e+00   2.00000e-02   4.75418e-02   2.75658e-03   3.55794e-04   1.50213e-02   
4.06000e-01   3.25000e+00   7.95062e+00   2.90000e-02   4.68178e-02   2.78835e-03   3.61314e-04   1.49095e-02   
5.41000e-01   4.32000e+00   7.92863e+00   3.80000e-02   4.73863e-02   2.83285e-03   3.66912e-04   1.48425e-02   
6.77000e-01   5.39000e+00   7.92241e+00   4.80000e-02   5.05706e-02   2.88227e-03   3.71211e-04   1.48425e-02   
8.12000e-01   6.46000e+00   7.91533e+00   5.80000e-02   5.08832e-02   2.94737e-03   3.77705e-04   1.49319e-02   
9.47000e-01   7.53000e+00   7.90248e+00   6.80000e-02   4.74603e-02   3.00270e-03   3.82440e-04   1.49319e-02   
1.08200e+00   8.60000e+00   7.89092e+00   7.70000e-02   4.71308e-02   3.06483e-03   3.86983e-04   1.50436e-02   
1.21800e+00   9.67000e+00   7.88145e+00   8.70000e-02   4.73901e-02   3.12418e-03   3.90160e-04   1.49766e-02   
1.35300e+00   1.07300e+01   7.87485e+00   9.70000e-02   4.63366e-02   3.18320e-03   3.91781e-04   1.50213e-02   
1.48800e+00   1.18000e+01   7.87640e+00   1.07000e-01   4.49804e-02   3.24637e-03   3.94104e-04   1.49319e-02   
1.62400e+00   1.28600e+01   7.88405e+00   1.16000e-01   4.43614e-02   3.31293e-03   3.96485e-04   1.49542e-02   
1.75900e+00   1.39300e+01   7.89894e+00   1.26000e-01   4.37786e-02   3.38999e-03   3.96836e-04   1.49542e-02   
1.89400e+00   1.50000e+01   7.90807e+00   1.35000e-01   4.37129e-02   3.46949e-03   3.96001e-04   1.48201e-02   
2.02900e+00   1.60700e+01   7.92310e+00   1.45000e-01   4.40139e-02   3.53310e-03   3.95804e-04   1.49766e-02   
2.16500e+00   1.71400e+01   7.94430e+00   1.55000e-01   4.27320e-02   3.59620e-03   3.93871e-04   1.49319e-02   
2.30000e+00   1.82200e+01   7.96074e+00   1.64000e-01   4.02426e-02   3.64891e-03   3.93016e-04   1.50213e-02   
2.43500e+00   1.93000e+01   7.97557e+00   1.73000e-01   3.81187e-02   3.70869e-03   3.89739e-04   1.50436e-02   
